peakRSS_[KiB],runtime_[s],n_proc,n_threads,n_sites,n_taxa,n_alignments,omp_alg,full_command,datetime_of_run
261280,1052.807,1,1,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Tue Sep  2 19:08:39 UTC 2025
260828,1102.051,1,2,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 2 --openmp-alg IM -redo,Tue Sep  2 19:26:12 UTC 2025
262340,429.431,1,4,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 4 --openmp-alg IM -redo,Tue Sep  2 19:44:34 UTC 2025
261132,297.491,1,8,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 8 --openmp-alg IM -redo,Tue Sep  2 19:51:43 UTC 2025
261480,415.879,1,12,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 12 --openmp-alg IM -redo,Tue Sep  2 19:56:41 UTC 2025
271068,576.301,1,16,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 16 --openmp-alg IM -redo,Tue Sep  2 20:03:37 UTC 2025
38064,1132.293,1,1,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Tue Sep  2 20:21:09 UTC 2025
40848,1110.785,1,2,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 2 --openmp-alg IM -redo,Tue Sep  2 20:40:01 UTC 2025
37904,438.432,1,4,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 4 --openmp-alg IM -redo,Tue Sep  2 20:58:32 UTC 2025
39864,274.612,1,8,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 8 --openmp-alg IM -redo,Tue Sep  2 21:05:51 UTC 2025
40812,257.954,1,12,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 12 --openmp-alg IM -redo,Tue Sep  2 21:10:25 UTC 2025
43896,233.312,1,16,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 16 --openmp-alg IM -redo,Tue Sep  2 21:14:44 UTC 2025
40540,1042.611,1,1,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg EM -redo,Tue Sep  2 22:35:09 UTC 2025
38052,711.94,1,2,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 2 --openmp-alg EM -redo,Tue Sep  2 21:43:41 UTC 2025
230344,427.51,1,4,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 4 --openmp-alg EM -redo,Tue Sep  2 21:55:33 UTC 2025
37616,311.735,1,8,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 8 --openmp-alg EM -redo,Tue Sep  2 22:02:40 UTC 2025
38400,300.795,1,12,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 12 --openmp-alg EM -redo,Tue Sep  2 22:07:52 UTC 2025
39140,285.8,1,16,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 16 --openmp-alg EM -redo,Tue Sep  2 22:12:53 UTC 2025
38132,110.773,1,1,6000,20000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 1 --openmp-alg EM -redo,Tue Sep  2 22:52:32 UTC 2025
38596,69.32,1,2,6000,20000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 2 --openmp-alg EM -redo,Tue Sep  2 22:17:38 UTC 2025
38700,37.833,1,4,6000,20000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 4 --openmp-alg EM -redo,Tue Sep  2 22:18:48 UTC 2025
39172,24.887,1,8,6000,20000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 8 --openmp-alg EM -redo,Tue Sep  2 22:19:26 UTC 2025
40216,28.739,1,12,6000,20000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 12 --openmp-alg EM -redo,Tue Sep  2 22:19:50 UTC 2025
42168,28.057,1,16,6000,20000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 16 --openmp-alg EM -redo,Tue Sep  2 22:20:19 UTC 2025
